year,team,games,wins,losses,win_percentage
2022,Air Force,13,10,3,0.7692307692307693
2022,Akron,13,2,10,0.15384615384615385
2022,Alabama,13,11,2,0.8461538461538461
2022,Appalachian State,12,6,6,0.5
2022,Arizona,12,5,7,0.4166666666666667
2022,Arizona State,12,3,9,0.25
2022,Arkansas,13,6,6,0.46153846153846156
2022,Arkansas State,12,3,9,0.25
2022,Army,12,6,6,0.5
2022,Auburn,12,5,7,0.4166666666666667
2022,Ball State,12,5,7,0.4166666666666667
2022,Baylor,13,6,7,0.46153846153846156
2022,Boise State,14,9,4,0.6428571428571429
2022,Boston College,12,3,9,0.25
2022,Bowling Green,13,6,7,0.46153846153846156
2022,Buffalo,14,7,6,0.5
2022,BYU,13,8,5,0.6153846153846154
2022,California,12,4,8,0.3333333333333333
2022,Central Michigan,12,4,8,0.3333333333333333
2022,Charlotte,12,3,9,0.25
2022,Cincinnati,13,9,4,0.6923076923076923
2022,Clemson,14,11,3,0.7857142857142857
2022,Coastal Carolina,13,9,3,0.6923076923076923
2022,Colorado,12,1,11,0.08333333333333333
2022,Colorado State,12,3,9,0.25
2022,Connecticut,13,6,6,0.46153846153846156
2022,Duke,13,9,4,0.6923076923076923
2022,East Carolina,13,7,5,0.5384615384615384
2022,Eastern Michigan,13,9,4,0.6923076923076923
2022,Florida,13,6,7,0.46153846153846156
2022,Florida Atlantic,12,5,7,0.4166666666666667
2022,Florida International,12,4,8,0.3333333333333333
2022,Florida State,13,10,3,0.7692307692307693
2022,Fresno State,14,9,4,0.6428571428571429
2022,Georgia,15,15,0,1.0
2022,Georgia Southern,13,6,7,0.46153846153846156
2022,Georgia State,12,4,8,0.3333333333333333
2022,Georgia Tech,12,5,7,0.4166666666666667
2022,Hawai'i,13,3,10,0.23076923076923078
2022,Houston,13,7,5,0.5384615384615384
2022,Illinois,13,8,5,0.6153846153846154
2022,Indiana,12,4,8,0.3333333333333333
2022,Iowa,13,8,5,0.6153846153846154
2022,Iowa State,12,4,8,0.3333333333333333
2022,James Madison,11,8,3,0.7272727272727273
2022,Kansas,13,6,6,0.46153846153846156
2022,Kansas State,14,10,4,0.7142857142857143
2022,Kent State,12,5,7,0.4166666666666667
2022,Kentucky,13,7,6,0.5384615384615384
2022,Liberty,13,8,4,0.6153846153846154
2022,Louisiana,13,6,6,0.46153846153846156
2022,Louisiana Monroe,12,4,8,0.3333333333333333
2022,Louisiana Tech,12,3,9,0.25
2022,Louisville,13,8,5,0.6153846153846154
2022,LSU,14,9,4,0.6428571428571429
2022,Marshall,13,8,4,0.6153846153846154
2022,Maryland,13,8,5,0.6153846153846154
2022,Memphis,13,7,6,0.5384615384615384
2022,Miami,12,5,7,0.4166666666666667
2022,Miami (OH),13,6,7,0.46153846153846156
2022,Michigan,14,13,1,0.9285714285714286
2022,Michigan State,12,5,7,0.4166666666666667
2022,Middle Tennessee,13,8,5,0.6153846153846154
2022,Minnesota,13,9,4,0.6923076923076923
2022,Mississippi State,13,9,4,0.6923076923076923
2022,Missouri,13,6,6,0.46153846153846156
2022,Navy,12,4,8,0.3333333333333333
2022,NC State,13,8,5,0.6153846153846154
2022,Nebraska,12,4,8,0.3333333333333333
2022,Nevada,12,2,10,0.16666666666666666
2022,New Mexico,12,2,10,0.16666666666666666
2022,New Mexico State,13,7,6,0.5384615384615384
2022,North Carolina,14,9,5,0.6428571428571429
2022,Northern Illinois,12,3,9,0.25
2022,North Texas,14,7,6,0.5
2022,Northwestern,12,1,11,0.08333333333333333
2022,Notre Dame,13,9,4,0.6923076923076923
2022,Ohio,14,10,4,0.7142857142857143
2022,Ohio State,13,11,2,0.8461538461538461
2022,Oklahoma,13,6,7,0.46153846153846156
2022,Oklahoma State,13,7,6,0.5384615384615384
2022,Old Dominion,12,3,9,0.25
2022,Ole Miss,13,8,4,0.6153846153846154
2022,Oregon,13,10,3,0.7692307692307693
2022,Oregon State,13,10,3,0.7692307692307693
2022,Penn State,13,10,2,0.7692307692307693
2022,Pittsburgh,13,9,4,0.6923076923076923
2022,Purdue,14,8,5,0.5714285714285714
2022,Rice,13,5,7,0.38461538461538464
2022,Rutgers,12,4,8,0.3333333333333333
2022,San Diego State,13,7,6,0.5384615384615384
2022,San José State,12,7,5,0.5833333333333334
2022,SMU,13,7,6,0.5384615384615384
2022,South Alabama,13,10,3,0.7692307692307693
2022,South Carolina,13,8,5,0.6153846153846154
2022,Southern Mississippi,13,6,6,0.46153846153846156
2022,South Florida,12,1,11,0.08333333333333333
2022,Stanford,12,3,9,0.25
2022,Syracuse,13,7,6,0.5384615384615384
2022,TCU,15,13,2,0.8666666666666667
2022,Temple,12,3,9,0.25
2022,Tennessee,13,11,2,0.8461538461538461
2022,Texas,13,8,5,0.6153846153846154
2022,Texas A&M,12,5,7,0.4166666666666667
2022,Texas State,12,4,8,0.3333333333333333
2022,Texas Tech,13,7,5,0.5384615384615384
2022,Toledo,14,8,5,0.5714285714285714
2022,Troy,14,12,2,0.8571428571428571
2022,Tulane,14,12,2,0.8571428571428571
2022,Tulsa,12,5,7,0.4166666666666667
2022,UAB,13,7,6,0.5384615384615384
2022,UCF,14,9,5,0.6428571428571429
2022,UCLA,13,9,4,0.6923076923076923
2022,UMass,12,1,11,0.08333333333333333
2022,UNLV,12,5,7,0.4166666666666667
2022,USC,14,11,3,0.7857142857142857
2022,Utah,14,10,3,0.7142857142857143
2022,Utah State,13,6,7,0.46153846153846156
2022,UTEP,12,5,7,0.4166666666666667
2022,UT San Antonio,14,11,3,0.7857142857142857
2022,Vanderbilt,12,5,7,0.4166666666666667
2022,Virginia,10,3,7,0.3
2022,Virginia Tech,11,3,8,0.2727272727272727
2022,Wake Forest,13,7,5,0.5384615384615384
2022,Washington,13,11,2,0.8461538461538461
2022,Washington State,13,7,5,0.5384615384615384
2022,Western Kentucky,14,9,5,0.6428571428571429
2022,Western Michigan,12,5,7,0.4166666666666667
2022,West Virginia,12,5,7,0.4166666666666667
2022,Wisconsin,13,7,6,0.5384615384615384
2022,Wyoming,13,7,6,0.5384615384615384
